1	Tool Crib	.0000	.00	2002-06-01 00:00:00.000
2	Sheet Metal Racks	.0000	.00	2002-06-01 00:00:00.000
3	Paint Shop	.0000	.00	2002-06-01 00:00:00.000
4	Paint Storage	.0000	.00	2002-06-01 00:00:00.000
5	Metal Storage	.0000	.00	2002-06-01 00:00:00.000
6	Miscellaneous Storage	.0000	.00	2002-06-01 00:00:00.000
7	Finished Goods Storage	.0000	.00	2002-06-01 00:00:00.000
10	Frame Forming	22.5000	96.00	2002-06-01 00:00:00.000
20	Frame Welding	25.0000	108.00	2002-06-01 00:00:00.000
30	Debur and Polish	14.5000	120.00	2002-06-01 00:00:00.000
40	Paint	15.7500	120.00	2002-06-01 00:00:00.000
45	Specialized Paint	18.0000	80.00	2002-06-01 00:00:00.000
50	Subassembly	12.2500	120.00	2002-06-01 00:00:00.000
60	Final Assembly	12.2500	120.00	2002-06-01 00:00:00.000
